Timestamp,What is your age?,What gender do you identify as?,Which part of the world are you from?,What is your academic occupation?,What is your field of study?,What AI tools are you familiar with / know about?,"Since ChatGPT is very popular now days, what do you use this AI generator tool for?",How often do you use ChatGPT?,Do you think that ChatGPT can be considered an unfair tool and can de a disadvantage to some students who do not have access to such AI generators?,"Since AI generators do most of the work for you, do you think it's fair for professors to be harsher when grading your work?",Do you think using ChatGPT is a form of cheating?,Do you think ChatGPT could help students with different learning disabilities?,Do you think that ChatGPT can provide you with unbiased and reliable information?,Do you think universities and schools should allow the use of ChatGPT?
2/25/2023 14:01:09,17-20,Male,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,I don't use it,Never,2,Yes,4,5,3,no
2/25/2023 14:03:10,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Research, Entertainment",Several times a week,3,No,4,4,4,no
2/25/2023 15:08:21,17-20,Male,"North America (Canada, US...)",Student (undergrad),Engineering,ChatGPT,I don't use it,Never,4,No,4,1,2,yes
2/25/2023 15:26:24,17-20,Female,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,I don't use it,Never,3,No,3,3,3,no
2/25/2023 16:06:02,17-20,Male,"Central Asia (Kazakhstan, Afghanistan...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Entertainment","Everyday, its part of my daily routine",2,No,2,5,2,yes
2/25/2023 16:17:22,17-20,Female,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,I don't use it,Never,3,No,3,3,3,no
2/25/2023 16:18:27,50+,Prefer not to say,"Middle East (Lebanon, Jordan...)",Professor,Life / Health Sciences,ChatGPT,I don't use it,Never,3,No,3,3,3,no
2/25/2023 16:23:30,40-49,Female,"Middle East (Lebanon, Jordan...)",Graduate,Interior design,YouChat,I don't use it,Never,3,No,3,3,3,yes
2/25/2023 16:41:14,17-20,Female,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,I don't use it,Never,2,No,5,3,2,no
2/25/2023 16:53:34,17-20,Female,"North America (Canada, US...)",Student (undergrad),Engineering,ChatGPT,"Educational purposes, Coding help, Entertainment, Proof-reading and writing help",Several times a week,2,No,4,5,3,yes
2/25/2023 18:38:10,17-20,Male,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,"Research, Entertainment",Several times a month,2,No,3,3,4,yes
2/25/2023 19:20:56,21-23,Female,"Middle East (Lebanon, Jordan...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Research, Proof-reading and writing help","Everyday, its part of my daily routine",2,No,2,5,3,yes
2/25/2023 21:45:42,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Coding help, Research, Entertainment",Several times a month,3,No,3,4,4,yes
2/26/2023 1:17:27,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,"ChatGPT, YouChat",I don't use it,Never,4,Yes,3,4,2,yes
2/26/2023 18:12:20,17-20,Male,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,"ChatGPT, YouChat",I don't use it,Never,1,Yes,3,5,3,no
2/27/2023 12:28:55,17-20,Female,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,I don't use it,Never,3,Yes,3,4,4,yes
2/27/2023 19:03:42,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,"Jasper, ChatGPT","Educational purposes, Coding help, Proof-reading and writing help",Several times a week,2,Yes,1,5,3,yes
2/28/2023 17:05:57,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,I don't use it,Never,5,No,2,5,4,yes
3/1/2023 22:26:49,17-20,Female,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,Educational purposes,Whenever I need to get my work done,3,No,1,5,4,yes
3/3/2023 20:30:25,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Entertainment",Whenever I need to get my work done,4,No,3,4,3,yes
3/7/2023 21:01:37,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Coding help, Proof-reading and writing help",Several times a month,5,No,1,4,5,yes
3/7/2023 21:04:17,21-23,Male,"North America (Canada, US...)",Student (undergrad),Psychology,ChatGPT,"Educational purposes, Research, Creative purposes",Whenever I need to get my work done,5,No,1,3,2,yes
3/8/2023 9:55:54,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,Research,Never,4,Yes,4,4,4,yes
3/8/2023 21:56:43,17-20,Male,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Research",Several times a month,4,No,4,4,1,yes
3/16/2023 9:57:59,21-23,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,"ChatGPT, YouChat","Educational purposes, Coding help, Entertainment",Several times a week,4,No,3,5,4,yes
3/16/2023 10:04:42,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Research",Several times a week,4,No,4,3,4,yes
3/16/2023 10:06:21,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,Educational purposes,Several times a month,4,Yes,4,4,4,yes
3/16/2023 10:09:16,17-20,Male,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,"Jasper, ChatGPT, Copysmith, Codewhisperer, YouChat","Educational purposes, Coding help, Research, Proof-reading and writing help",Whenever I need to get my work done,3,Yes,3,2,4,yes
3/16/2023 18:34:29,17-20,Male,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Entertainment",Never,2,No,4,4,3,no
3/19/2023 21:42:36,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment",Several times a month,3,No,3,3,2,yes
3/20/2023 10:29:22,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes","Everyday, its part of my daily routine",1,No,4,3,4,yes
3/20/2023 10:29:31,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research",Whenever I need to get my work done,3,Yes,3,5,3,yes
3/20/2023 12:21:05,17-20,Male,"Central Asia (Kazakhstan, Afghanistan...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Research, Proof-reading and writing help",Several times a week,3,Yes,5,1,3,no
3/20/2023 12:25:03,17-20,Male,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,Creative purposes,Never,1,Yes,5,3,4,no
3/20/2023 12:42:57,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes",Several times a month,4,No,2,5,1,yes
3/20/2023 12:48:17,17-20,Female,"North America (Canada, US...)",Student (undergrad),business and arts,ChatGPT,Coding help,Whenever I need to get my work done,3,No,3,3,3,yes
3/20/2023 12:57:16,17-20,Male,"South Asia (India, Sri Lanka...)",Student (undergrad),Engineering,ChatGPT,Coding help,Whenever I need to get my work done,3,Yes,3,4,3,yes
3/20/2023 13:32:13,17-20,Male,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help, Creative purposes",Several times a week,3,No,3,5,3,yes
3/20/2023 13:52:46,17-20,Male,"Caucasus (Armenia, Georgia..)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,5,No,2,5,3,yes
3/20/2023 15:18:02,27-29,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Creative purposes",Whenever I need to get my work done,2,Yes,3,4,4,yes
3/20/2023 20:17:54,17-20,Female,"Middle East (Lebanon, Jordan...)",Student (undergrad),Psychology,ChatGPT,"Proof-reading and writing help, Creative purposes",Never,3,Yes,5,4,3,no
3/20/2023 21:46:43,17-20,Female,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,Creative purposes,Several times a month,3,No,3,3,3,yes
3/20/2023 21:47:35,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,"Jasper, ChatGPT","Educational purposes, Coding help, Research, Proof-reading and writing help","Everyday, its part of my daily routine",4,No,4,4,3,yes
3/23/2023 13:33:39,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes","Everyday, its part of my daily routine",2,No,4,5,2,yes
3/23/2023 16:03:24,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Research, Entertainment, Creative purposes",Whenever I need to get my work done,3,Yes,2,4,4,yes
3/23/2023 16:08:44,17-20,Female,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,"Coding help, Research",Several times a month,5,No,4,1,2,yes
3/23/2023 18:32:54,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Whenever I need to get my work done,4,No,3,3,4,yes
3/23/2023 22:26:42,17-20,Male,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Research, Entertainment, Proof-reading and writing help",Whenever I need to get my work done,2,Yes,4,4,4,no
3/24/2023 9:10:48,17-20,Male,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Coding help, Research",Several times a month,5,No,1,5,1,yes
3/24/2023 10:03:54,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes",Several times a month,1,No,1,5,5,yes
3/24/2023 10:06:02,17-20,Male,"Central Asia (Kazakhstan, Afghanistan...)",Student (undergrad),Business Studies,"ChatGPT, YouChat","Educational purposes, Research, Entertainment",Several times a month,2,No,4,5,4,no
3/24/2023 11:36:43,17-20,Female,"North America (Canada, US...)",Student (undergrad),Social Sciences,ChatGPT,"Research, Proof-reading and writing help",Whenever I need to get my work done,3,No,4,4,2,yes
3/24/2023 11:36:48,21-23,Female,"South America (Brazil, Argentina...)",Student (undergrad),Math % its application ,"Jasper, Codewhisperer",Educational purposes,Several times a month,4,No,2,4,2,yes
3/24/2023 11:40:01,17-20,Female,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,Proof-reading and writing help,Never,3,No,3,3,5,no
3/24/2023 11:40:23,17-20,Male,"East Asia (China, Japan...)",Student (undergrad),Business Studies,ChatGPT,Entertainment,Several times a month,1,Yes,5,1,2,no
3/24/2023 11:41:19,17-20,Female,"North America (Canada, US...)",Student (undergrad),Environmental biology ,Copysmith,"Educational purposes, Proof-reading and writing help",Never,1,Yes,5,3,2,no
3/24/2023 11:41:25,17-20,Male,"South East Asia (Thailand, Philippines...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Entertainment, Proof-reading and writing help",Whenever I need to get my work done,4,No,4,5,2,yes
3/24/2023 11:44:29,17-20,Male,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Proof-reading and writing help",Several times a month,1,No,4,5,3,yes
3/24/2023 11:44:50,21-23,Female,"North America (Canada, US...)",Student (undergrad),Business Studies,Jasper,"Research, Entertainment, Creative purposes",Several times a week,2,No,4,5,4,yes
3/24/2023 12:00:54,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Research, Entertainment, Proof-reading and writing help, Creative purposes",Several times a week,1,No,4,4,4,yes
3/24/2023 12:01:34,17-20,Female,"Middle East (Lebanon, Jordan...)",Student (undergrad),Life / Health Sciences,"Jasper, ChatGPT",Research,"Everyday, its part of my daily routine",2,No,2,5,5,yes
3/24/2023 12:03:34,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Computer Science,"Jasper, ChatGPT","Educational purposes, Coding help","Everyday, its part of my daily routine",4,No,2,5,2,yes
3/24/2023 12:04:18,17-20,Female,"Caucasus (Armenia, Georgia..)",Student (undergrad),Life / Health Sciences,ChatGPT,Educational purposes,Several times a week,4,No,2,4,2,yes
3/24/2023 13:06:10,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,"Jasper, ChatGPT","Educational purposes, Research, Proof-reading and writing help",Never,3,Yes,2,4,2,yes
3/24/2023 15:09:35,40-49,Non-binary/other,"South America (Brazil, Argentina...)",Professor,Computer Science,YouChat,Coding help,"Everyday, its part of my daily routine",5,No,1,5,5,yes
3/25/2023 10:49:53,40-49,Male,"North America (Canada, US...)",Professor,Engineering,ChatGPT,"Educational purposes, Research",Whenever I need to get my work done,3,No,3,4,4,yes
3/25/2023 12:11:06,17-20,Female,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,"Educational purposes, Research",Several times a month,2,No,3,4,3,no
3/26/2023 16:53:06,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,Educational purposes,Whenever I need to get my work done,2,No,4,5,2,yes
3/26/2023 17:05:21,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Whenever I need to get my work done,2,Yes,4,5,2,yes
3/26/2023 20:08:21,17-20,Male,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Research, Entertainment","Everyday, its part of my daily routine",2,No,2,4,2,yes
3/26/2023 20:09:13,17-20,Female,"Middle East (Lebanon, Jordan...)",Student (undergrad),Engineering,ChatGPT,"Educational purposes, Research, Entertainment","Everyday, its part of my daily routine",4,No,2,4,2,yes
3/26/2023 20:43:18,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,2,Yes,4,5,2,yes
3/26/2023 20:43:37,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,2,Yes,4,5,2,yes
3/26/2023 20:44:11,17-20,Male,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,2,Yes,4,5,2,yes
3/26/2023 20:44:40,17-20,Male,"North America (Canada, US...)",Student (undergrad),Linguistic Studies,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,2,Yes,4,5,2,yes
3/26/2023 20:45:37,17-20,Female,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help","Everyday, its part of my daily routine",2,Yes,4,5,2,yes
3/26/2023 20:46:29,17-20,Male,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,"Jasper, ChatGPT","Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,2,Yes,4,5,2,yes
3/26/2023 20:47:33,17-20,Female,"North America (Canada, US...)",Student (undergrad),Engineering,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes",Several times a month,2,Yes,4,5,2,yes
3/26/2023 20:51:27,21-23,Female,"North America (Canada, US...)",Student (undergrad),Engineering,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,1,Yes,5,5,1,yes
3/26/2023 20:52:29,21-23,Female,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a month,1,Yes,5,5,1,yes
3/26/2023 20:57:18,21-23,Female,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,"Educational purposes, Coding help, Research, Proof-reading and writing help",Several times a week,1,Yes,5,5,2,yes
3/26/2023 21:03:31,21-23,Female,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,"ChatGPT, YouChat","Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes","Everyday, its part of my daily routine",4,Yes,5,5,1,yes
3/26/2023 21:22:24,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Business Studies,Jasper,"Educational purposes, Research, Entertainment, Proof-reading and writing help",Several times a week,2,No,4,4,4,yes
3/26/2023 21:22:26,21-23,Female,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes","Everyday, its part of my daily routine",2,No,4,5,5,yes
3/26/2023 21:23:04,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes",Several times a week,2,No,4,4,4,yes
3/26/2023 21:23:38,17-20,Female,"Middle East (Lebanon, Jordan...)",Student (undergrad),Computer Science,"Jasper, ChatGPT","Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes",Several times a week,2,No,4,4,4,yes
3/26/2023 21:24:17,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Psychology,ChatGPT,"Educational purposes, Research",Several times a week,2,No,4,4,4,yes
3/26/2023 21:25:12,21-23,Female,"Caucasus (Armenia, Georgia..)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Research, Proof-reading and writing help, Creative purposes",Whenever I need to get my work done,2,No,4,4,4,yes
3/26/2023 21:26:28,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Life / Health Sciences,ChatGPT,"Educational purposes, Research, Proof-reading and writing help",Whenever I need to get my work done,2,No,4,4,4,yes
3/26/2023 21:26:57,17-20,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes","Everyday, its part of my daily routine",2,No,4,4,4,yes
3/26/2023 21:27:02,21-23,Female,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,"ChatGPT, YouChat","Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes",Several times a week,1,No,4,5,4,yes
3/26/2023 21:27:24,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes","Everyday, its part of my daily routine",2,No,4,4,4,yes
3/26/2023 21:28:08,17-20,Male,"North America (Canada, US...)",Student (undergrad),Business Studies,"Jasper, ChatGPT",Educational purposes,Whenever I need to get my work done,2,No,4,4,4,yes
